 "suject_name" , "course_number" ,
 "CECR" , "9" ,
 "KCEP" , "7" ,
 "JAZZ" , "18" ,
 "WSDB" , "27" ,
 "GCE" , "5" ,
 "ARTT" , "5" ,
 "MPER" , "34" ,
 "MBA" , "36" ,
 "EMBA" , "36" ,
 "EART" , "1" ,
 "ART" , "6" ,
 "CHEM" , "94" ,
 "ACCO" , "68" ,
 "ITAL" , "48" ,
 "TRAD" , "2" ,
 "CELD" , "5" ,
 "THEZ" , "1" ,
 "TPER" , "12" ,
 "UNIT" , "3" ,
 "APLI" , "38" ,
 "SOEN" , "47" ,
 "GEOL" , "9" ,
 "JHIS" , "2" ,
 "GPSC" , "22" ,
 "INDS" , "3" ,
 "FTRA" , "124" ,
 "HEXS" , "4" ,
 "ANDR" , "2" ,
 "FBRS" , "22" ,
 "SSDB" , "8" ,
 "CIVI" , "70" ,
 "INST" , "1" ,
 "QUAN" , "1" ,
 "FLIT" , "74" ,
 "DESC" , "6" ,
 "GPWL" , "23" ,
 "CEJN" , "9" ,
 "EAST" , "35" ,
 "INTE" , "27" ,
 "ESL" , "6" ,
 "AMBA" , "1" ,
 "TDEV" , "12" ,
 "PRXA" , "2" ,
 "TESL" , "27" ,
 "PTNG" , "21" ,
 "MTHY" , "21" ,
 "ENVS" , "17" ,
 "CWTM" , "4" ,
 "FMST" , "110" ,
 "ARTE" , "49" ,
 "INDU" , "50" ,
 "DFTT" , "33" ,
 "GPDI" , "22" ,
 "LING" , "42" ,
 "BLDG" , "71" ,
 "SCEN" , "2" ,
 "STAT" , "20" ,
 "DANC" , "20" ,
 "BSTA" , "8" ,
 "MARK" , "30" ,
 "CENT" , "8" ,
 "CEDP" , "10" ,
 "INSE" , "39" ,
 "BCEE" , "17" ,
 "CEPH" , "2" ,
 "FPST" , "25" ,
 "UNSS" , "2" ,
 "PRIN" , "32" ,
 "FMAN" , "33" ,
 "WMNS" , "6" ,
 "MOVI" , "2" ,
 "APSS" , "9" ,
 "PARA" , "1" ,
 "CPTP" , "1" ,
 "HUMA" , "95" ,
 "ENGR" , "72" ,
 "GPPS" , "1" ,
 "DRAW" , "17" ,
 "CLAS" , "54" ,
 "FFAR" , "10" ,
 "CINE" , "5" ,
 "PROJ" , "2" ,
 "PHIL" , "120" ,
 "NURS" , "2" ,
 "JMEC" , "6" ,
 "SOCI" , "118" ,
 "URBS" , "29" ,
 "MHIS" , "14" ,
 "CEFR" , "14" ,
 "MANA" , "41" ,
 "INDI" , "92" ,
 "FASS" , "2" ,
 "COMS" , "208" ,
 "GPLL" , "41" ,
 "FINA" , "39" ,
 "EAMT" , "4" ,
 "ELEC" , "113" ,
 "GPTK" , "31" ,
 "CHST" , "29" ,
 "STOQ" , "1" ,
 "CECM" , "2" ,
 "CEWD" , "5" ,
 "MIAE" , "6" ,
 "PRXF" , "2" ,
 "GDES" , "2" ,
 "MSCM" , "6" ,
 "SPEC" , "109" ,
 "TRES" , "44" ,
 "IDYS" , "2" ,
 "HEAL" , "4" ,
 "HENV" , "21" ,
 "AERO" , "21" ,
 "CDNS" , "2" ,
 "AMPS" , "4" ,
 "HIST" , "174" ,
 "ANTH" , "89" ,
 "ADIP" , "21" ,
 "CEEN" , "6" ,
 "COMP" , "105" ,
 "PROD" , "17" ,
 "CWTF" , "4" ,
 "MRUS" , "1" ,
 "BTM" , "15" ,
 "CEPD" , "7" ,
 "EXCI" , "59" ,
 "THEA" , "15" ,
 "CHME" , "12" ,
 "GIIM" , "24" ,
 "CART" , "43" ,
 "MODZ" , "1" ,
 "FRAN" , "25" ,
 "LESR" , "4" ,
 "SCOM" , "8" ,
 "EXCZ" , "1" ,
 "LUCC" , "9" ,
 "CWTG" , "4" ,
 "SOAN" , "7" ,
 "COEN" , "46" ,
 "PERC" , "40" ,
 "BIOP" , "7" ,
 "ASEM" , "7" ,
 "ADMI" , "32" ,
 "MGRK" , "1" ,
 "CEMK" , "2" ,
 "CEPR" , "3" ,
 "PHOT" , "25" ,
 "IBUS" , "6" ,
 "POLI" , "200" ,
 "ECON" , "117" ,
 "SCUL" , "18" ,
 "SSOQ" , "6" ,
 "CEHR" , "4" ,
 "CEJV" , "5" ,
 "LIBR" , "1" ,
 "SPAN" , "72" ,
 "PHIZ" , "1" ,
 "DISP" , "1" ,
 "CEWP" , "14" ,
 "SCPA" , "34" ,
 "CEPS" , "80" ,
 "SCHA" , "4" ,
 "DINE" , "3" ,
 "THEO" , "97" ,
 "LIBS" , "12" ,
 "CWTE" , "4" ,
 "HISW" , "13" ,
 "MSCA" , "40" ,
 "AHSC" , "107" ,
 "DTHY" , "12" ,
 "OPME" , "4" ,
 "DESI" , "1" ,
 "FLIZ" , "1" ,
 "IMCA" , "25" ,
 "INTP" , "3" ,
 "MCHI" , "13" ,
 "FRAA" , "31" ,
 "GPRM" , "5" ,
 "ARTX" , "8" ,
 "ACTU" , "12" ,
 "GERM" , "32" ,
 "CATS" , "15" ,
 "ADED" , "14" ,
 "CEBD" , "11" ,
 "LOYC" , "15" ,
 "CWTB" , "4" ,
 "HEBR" , "4" ,
 "GEOG" , "69" ,
 "ENGL" , "234" ,
 "ARTH" , "111" ,
 "DART" , "63" ,
 "CEBU" , "5" ,
 "CESF" , "5" ,
 "RELZ" , "1" ,
 "ENCS" , "26" ,
 "CWTS" , "4" ,
 "RELI" , "244" ,
 "MACF" , "3" ,
 "LEIS" , "1" ,
 "PRXS" , "2" ,
 "ACTT" , "38" ,
 "GDBA" , "27" ,
 "CMUS" , "1" ,
 "JOUR" , "87" ,
 "PHYS" , "79" ,
 "MUSI" , "49" ,
 "CWTC" , "4" ,
 "MATH" , "94" ,
 "SDEB" , "1" ,
 "COMM" , "18" ,
 "EDUC" , "92" ,
 "CERA" , "13" ,
 "PSYC" , "178" ,
 "IRST" , "36" ,
 "FFAZ" , "1" ,
 "CATA" , "16" ,
 "BIOL" , "112" ,
 "JPER" , "29" ,
 "IMBA" , "1" ,
 "ATRP" , "13" ,
 "ENGZ" , "1" ,
 "CECD" , "4" ,
 "LBCL" , "20" ,
 "MARA" , "14" ,
 "ESTU" , "35" ,
 "SCOL" , "12" ,
 "HISZ" , "1" ,
 "MECH" , "116" ,
 "INMS" , "6" ,
 "GPCB" , "38" ,
 "MODL" , "10" ,
 "VDEO" , "1" ,
 "DFAR" , "5" ,
 "GPLD" , "20" ,
 "MAST" , "87" ,
 "CEEI" , "7" ,
 "FMPR" , "41" ,
 "CWTA" , "4" ,
 "GDIA" , "2" ,
 "GPLT" , "2" ,
 "ETEC" , "68" ,
